a_i,p_a,f_a,gamma,delta_a,beta,beta_lower_CI,beta_upper_CI,delta,delta_lower_CI,delta_upper_CI,E0,E0_lower_CI,E0_upper_CI,I0,I0_lower_CI,I0_upper_CI,a,a_lower_CI,a_upper_CI,lambda,lambda_lower_CI,lambda_upper_CI,kappa,kappa_lower_CI,kappa_upper_CI,r0,r0_lower_CI,r0_upper_CI,RMS,Prediction Error
0.25,0,5.0000000000000003e-002,0.19600000000000001,0.125,1.7430000000000001,1.585,1.899,0.44400000000000001,0.41899999999999998,0.45400000000000001,68,30,116,57,38,78,4.2000000000000003e-002,3.5999999999999997e-002,4.7e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.4999999999999997e-003,3.9256756756756759,3.7828162291169454,4.1828193832599121,122.864,70.298000000000002
0.25,0,0.10000000000000001,0.19600000000000001,0.125,1.742,1.5860000000000001,1.915,0.443,0.41799999999999998,0.45400000000000001,68,28,114,57,37,79,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9e-002,1.84e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9322799097065464,3.794258373205742,4.2180616740088102,122.864,70.298000000000002
0.25,0,0.20000000000000001,0.19600000000000001,0.125,1.7390000000000001,1.569,1.9059999999999999,0.443,0.41899999999999998,0.45500000000000002,70,28,117,57,37,78,4.2000000000000003e-002,3.5999999999999997e-002,4.7e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9255079006772009,3.7446300715990453,4.1890109890109883,122.864,70.298000000000002
0.25,0.20000000000000001,5.0000000000000003e-002,0.19600000000000001,0.125,1.919,1.75,2.0960000000000001,0.441,0.41599999999999998,0.45400000000000001,56,35,95,43,28,58,4.4999999999999998e-002,4.0000000000000001e-002,5.0999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,3.8999999999999998e-003,4.5999999999999999e-003,4.2169999999999996,3.8069999999999999,4.6760000000000002,118.008,76.415999999999997
0.25,0.20000000000000001,0.10000000000000001,0.19600000000000001,0.125,1.9279999999999999,1.756,2.1070000000000002,0.441,0.41799999999999998,0.45300000000000001,57,37,100,42,27,56,4.4999999999999998e-002,4.0000000000000001e-002,5.0999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,3.8999999999999998e-003,4.5999999999999999e-003,4.194,3.7869999999999999,4.633,118.119,76.334000000000003
0.25,0.20000000000000001,0.20000000000000001,0.19600000000000001,0.125,1.931,1.7549999999999999,2.1219999999999999,0.44,0.40699999999999997,0.45100000000000001,54,36,100,42,27,56,4.4999999999999998e-002,4.0000000000000001e-002,5.0999999999999997e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.4000000000000003e-003,4.0000000000000001e-003,4.7000000000000002e-003,4.1299999999999999,3.7040000000000002,4.5890000000000004,118.137,76.343999999999994
0.25,0.40000000000000002,5.0000000000000003e-002,0.19600000000000001,0.125,1.8080000000000001,1.677,1.9670000000000001,0.44700000000000001,0.432,0.45400000000000001,47,19,103,55,37,68,4.0000000000000001e-002,3.5000000000000003e-002,4.4999999999999998e-002,1.9099999999999999e-002,1.83e-002,1.9699999999999999e-002,4.3e-003,4.0000000000000001e-003,4.7000000000000002e-003,3.8010000000000002,3.5169999999999999,4.173,119.57299999999999,73.350999999999999
0.25,0.40000000000000002,0.10000000000000001,0.19600000000000001,0.125,1.9079999999999999,1.7470000000000001,2.0840000000000001,0.443,0.42199999999999999,0.45200000000000001,47,26,93,44,29,59,4.2999999999999997e-002,3.7999999999999999e-002,4.8000000000000001e-002,1.9099999999999999e-002,1.84e-002,1.9900000000000001e-002,4.4000000000000003e-003,4.1000000000000003e-003,4.7999999999999996e-003,3.9630000000000001,3.597,4.3819999999999997,118.333,76.685000000000002
0.25,0.40000000000000002,0.20000000000000001,0.19600000000000001,0.125,1.9099999999999999,1.7649999999999999,2.0899999999999999,0.443,0.42399999999999999,0.45100000000000001,43,20,87,44,30,58,4.2000000000000003e-002,3.6999999999999998e-002,4.7e-002,1.9099999999999999e-002,1.83e-002,1.9900000000000001e-002,4.5999999999999999e-003,4.3e-003,5.0000000000000001e-003,3.8109999999999999,3.4870000000000001,4.1900000000000004,118.09699999999999,76.584999999999994
0.25,0.59999999999999998,5.0000000000000003e-002,0.19600000000000001,0.125,1.9079999999999999,1.7689999999999999,2.0539999999999998,0.44600000000000001,0.42199999999999999,0.5,34,1,79,46,32,58,4.0000000000000001e-002,3.5999999999999997e-002,4.3999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.4000000000000003e-003,4.1000000000000003e-003,4.7999999999999996e-003,3.887,3.5859999999999999,4.1859999999999999,117.91,76.441000000000003
0.25,0.59999999999999998,0.10000000000000001,0.19600000000000001,0.125,1.8999999999999999,1.7350000000000001,2.0640000000000001,0.44400000000000001,0.42199999999999999,0.45600000000000002,36,13,76,44,31,57,4.0000000000000001e-002,3.5000000000000003e-002,4.4999999999999998e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.7000000000000002e-003,4.3e-003,5.0000000000000001e-003,3.7639999999999998,3.427,4.1079999999999997,117.873,76.491
0.25,0.59999999999999998,0.20000000000000001,0.19600000000000001,0.125,1.9059999999999999,1.736,2.0579999999999998,0.44500000000000001,0.41399999999999998,0.45900000000000002,40,7,91,39,25,54,3.9e-002,3.4000000000000002e-002,4.2999999999999997e-002,1.9099999999999999e-002,1.83e-002,1.9900000000000001e-002,5.1000000000000004e-003,4.7000000000000002e-003,5.5999999999999999e-003,3.5459999999999998,3.2370000000000001,3.8599999999999999,117.821,76.347999999999999
0.25,0.80000000000000004,5.0000000000000003e-002,0.19600000000000001,0.125,1.883,1.6499999999999999,2.0790000000000002,0.43099999999999999,0.316,0.5,24,1,66,43,32,58,3.7999999999999999e-002,3.3000000000000002e-002,4.2000000000000003e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.7999999999999996e-003,4.4000000000000003e-003,5.1999999999999998e-003,3.7509999999999999,3.4380000000000002,4.0780000000000003,117.902,75.578999999999994
0.25,0.80000000000000004,0.10000000000000001,0.19600000000000001,0.125,1.8959999999999999,1.702,2.0670000000000002,0.44400000000000001,0.32900000000000001,0.5,30,1,66,38,29,51,3.6999999999999998e-002,3.3000000000000002e-002,4.1000000000000002e-002,1.9099999999999999e-002,1.8499999999999999e-002,1.9800000000000002e-002,5.4000000000000003e-003,4.8999999999999998e-003,5.8999999999999999e-003,3.5960000000000001,3.3109999999999999,3.883,117.839,75.307000000000002
0.25,0.80000000000000004,0.20000000000000001,0.19600000000000001,0.125,1.8720000000000001,1.7130000000000001,2.016,0.44900000000000001,0.436,0.45900000000000002,52,23,82,30,22,39,3.4000000000000002e-002,2.9999999999999999e-002,3.9e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,6.7000000000000002e-003,6.1000000000000004e-003,7.1999999999999998e-003,3.2320000000000002,2.956,3.4889999999999999,118.108,74.861999999999995
0.5,0,5.0000000000000003e-002,0.19600000000000001,0.125,1.7450000000000001,1.5800000000000001,1.9159999999999999,0.44400000000000001,0.41799999999999998,0.45400000000000001,68,31,113,57,38,77,4.2000000000000003e-002,3.5999999999999997e-002,4.7e-002,1.9e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9301801801801806,3.7799043062200961,4.2202643171806162,122.864,70.298000000000002
0.5,0,0.10000000000000001,0.19600000000000001,0.125,1.7430000000000001,1.589,1.9159999999999999,0.443,0.41499999999999998,0.45400000000000001,68,28,110,57,37,78,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9345372460496617,3.8289156626506027,4.2202643171806162,122.864,70.298000000000002
0.5,0,0.20000000000000001,0.19600000000000001,0.125,1.74,1.583,1.9039999999999999,0.443,0.41899999999999998,0.45400000000000001,68,27,114,57,36,80,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9277652370203158,3.7780429594272076,4.1938325991189425,122.864,70.298000000000002
0.5,0.20000000000000001,5.0000000000000003e-002,0.19600000000000001,0.125,1.6950000000000001,1.413,1.919,0.40200000000000002,0.27800000000000002,0.45500000000000002,60,36,92,46,30,65,4.8000000000000001e-002,4.2000000000000003e-002,5.6000000000000001e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,3.8999999999999998e-003,4.5999999999999999e-003,4.6929999999999996,4.1559999999999997,5.4509999999999996,118.20999999999999,75.950000000000003
0.5,0.20000000000000001,0.10000000000000001,0.19600000000000001,0.125,1.7470000000000001,1.552,1.9350000000000001,0.42799999999999999,0.35799999999999998,0.45500000000000002,56,30,98,44,28,59,4.7e-002,4.2000000000000003e-002,5.2999999999999999e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,4.0000000000000001e-003,4.7000000000000002e-003,4.5279999999999996,4.0830000000000002,5.0759999999999996,118.086,76.122
0.5,0.20000000000000001,0.20000000000000001,0.19600000000000001,0.125,1.7649999999999999,1.611,1.9419999999999999,0.44800000000000001,0.42499999999999999,0.46000000000000002,49,21,100,46,29,65,4.4999999999999998e-002,4.0000000000000001e-002,5.0999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.4000000000000003e-003,4.0000000000000001e-003,4.7000000000000002e-003,4.282,3.8879999999999999,4.7560000000000002,118.66800000000001,75.131
0.5,0.40000000000000002,5.0000000000000003e-002,0.19600000000000001,0.125,1.6140000000000001,1.468,1.7569999999999999,0.46600000000000003,0.44900000000000001,0.47599999999999998,58,32,80,42,31,56,4.4999999999999998e-002,4.0000000000000001e-002,5.0000000000000003e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,4.0000000000000001e-003,4.7000000000000002e-003,4.5309999999999997,4.1120000000000001,4.9560000000000004,117.991,76.094999999999999
0.5,0.40000000000000002,0.10000000000000001,0.19600000000000001,0.125,1.5880000000000001,1.4510000000000001,1.734,0.46500000000000002,0.44900000000000001,0.47599999999999998,62,36,86,42,30,56,4.3999999999999997e-002,3.9e-002,4.9000000000000002e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.4000000000000003e-003,4.1000000000000003e-003,4.7999999999999996e-003,4.335,3.9420000000000002,4.7560000000000002,118.304,75.007999999999996
0.5,0.40000000000000002,0.20000000000000001,0.19600000000000001,0.125,1.5960000000000001,1.4199999999999999,1.7509999999999999,0.441,0.36499999999999999,0.46400000000000002,43,25,75,44,32,58,4.3999999999999997e-002,3.9e-002,5.0000000000000003e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.5999999999999999e-003,4.3e-003,5.0000000000000001e-003,4.2210000000000001,3.831,4.6360000000000001,117.985,76.344999999999999
0.5,0.59999999999999998,5.0000000000000003e-002,0.19600000000000001,0.125,1.415,1.286,1.5449999999999999,0.47299999999999998,0.45400000000000001,0.48299999999999998,50,24,77,42,31,56,4.2999999999999997e-002,3.7999999999999999e-002,4.8000000000000001e-002,1.9099999999999999e-002,1.84e-002,1.9900000000000001e-002,4.4000000000000003e-003,4.1000000000000003e-003,4.7999999999999996e-003,4.4240000000000004,4.0099999999999998,4.8410000000000002,117.84,76.030000000000001
0.5,0.59999999999999998,0.10000000000000001,0.19600000000000001,0.125,1.421,1.2869999999999999,1.5529999999999999,0.47199999999999998,0.45400000000000001,0.48299999999999998,50,24,74,40,29,54,4.2999999999999997e-002,3.7999999999999999e-002,4.8000000000000001e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.7000000000000002e-003,4.3e-003,5.0000000000000001e-003,4.2729999999999997,3.8740000000000001,4.6829999999999998,117.911,76.040999999999997
0.5,0.59999999999999998,0.20000000000000001,0.19600000000000001,0.125,1.4399999999999999,1.3220000000000001,1.5649999999999999,0.47199999999999998,0.45700000000000002,0.48099999999999998,33,5,66,40,29,52,4.2000000000000003e-002,3.6999999999999998e-002,4.5999999999999999e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,5.1000000000000004e-003,4.7000000000000002e-003,5.4999999999999997e-003,3.9870000000000001,3.6619999999999999,4.3399999999999999,117.81999999999999,76.134
0.5,0.80000000000000004,5.0000000000000003e-002,0.19600000000000001,0.125,1.079,0.98499999999999999,1.169,0.48199999999999998,0.40200000000000002,0.5,52,3,119,53,40,69,3.5000000000000003e-002,2.9999999999999999e-002,3.9e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.7999999999999996e-003,4.4000000000000003e-003,5.1999999999999998e-003,3.7290000000000001,3.4359999999999999,4.0369999999999999,123.352,69.081999999999994
0.5,0.80000000000000004,0.10000000000000001,0.19600000000000001,0.125,1.1719999999999999,1.0780000000000001,1.264,0.46400000000000002,0.41999999999999998,0.48599999999999999,54,22,81,36,26,48,3.7999999999999999e-002,3.4000000000000002e-002,4.2999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,5.4000000000000003e-003,4.8999999999999998e-003,5.7999999999999996e-003,3.8799999999999999,3.5760000000000001,4.1909999999999998,117.965,75.244
0.5,0.80000000000000004,0.20000000000000001,0.19600000000000001,0.125,1.0580000000000001,0.92400000000000004,1.268,0.46400000000000002,0.29799999999999999,0.5,61,3,166,44,23,62,3.2000000000000001e-002,2.7e-002,4.1000000000000002e-002,1.9e-002,1.83e-002,1.9800000000000002e-002,6.7000000000000002e-003,6.1000000000000004e-003,7.4000000000000003e-003,3.177,2.8820000000000001,3.802,131.006,65.953999999999994
0.75,0,5.0000000000000003e-002,0.19600000000000001,0.125,1.744,1.577,1.915,0.44400000000000001,0.41799999999999998,0.45400000000000001,68,30,114,57,39,78,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9279279279279278,3.7727272727272729,4.2180616740088102,122.864,70.298000000000002
0.75,0,0.10000000000000001,0.19600000000000001,0.125,1.742,1.5840000000000001,1.9159999999999999,0.44400000000000001,0.41899999999999998,0.45400000000000001,68,28,114,57,37,79,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9e-002,1.83e-002,1.9800000000000002e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9234234234234235,3.7804295942720767,4.2202643171806162,122.864,70.298000000000002
0.75,0,0.20000000000000001,0.19600000000000001,0.125,1.7470000000000001,1.5920000000000001,1.907,0.44400000000000001,0.41799999999999998,0.45400000000000001,67,26,114,57,36,79,4.2000000000000003e-002,3.5999999999999997e-002,4.8000000000000001e-002,1.9e-002,1.84e-002,1.9699999999999999e-002,4.1999999999999997e-003,3.8999999999999998e-003,4.5999999999999999e-003,3.9346846846846848,3.8086124401913879,4.2004405286343616,122.864,70.298000000000002
0.75,0.20000000000000001,5.0000000000000003e-002,0.19600000000000001,0.125,1.6439999999999999,1.4770000000000001,1.8049999999999999,0.44900000000000001,0.40100000000000002,0.46600000000000003,49,23,87,47,30,63,4.8000000000000001e-002,4.2000000000000003e-002,5.2999999999999999e-002,1.9099999999999999e-002,1.84e-002,1.9900000000000001e-002,4.3e-003,3.8999999999999998e-003,4.5999999999999999e-003,4.8040000000000003,4.3300000000000001,5.3129999999999997,117.93000000000001,75.701999999999998
0.75,0.20000000000000001,0.10000000000000001,0.19600000000000001,0.125,1.6639999999999999,1.5029999999999999,1.841,0.45600000000000002,0.42999999999999999,0.46600000000000003,48,21,89,45,29,64,4.8000000000000001e-002,4.2000000000000003e-002,5.3999999999999999e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,4.0000000000000001e-003,4.5999999999999999e-003,4.7220000000000004,4.2389999999999999,5.25,118.27,75.768000000000001
0.75,0.20000000000000001,0.20000000000000001,0.19600000000000001,0.125,1.6779999999999999,1.534,1.845,0.45700000000000002,0.442,0.46600000000000003,52,31,99,43,26,57,4.7e-002,4.1000000000000002e-002,5.2999999999999999e-002,1.9099999999999999e-002,1.8499999999999999e-002,1.9900000000000001e-002,4.4000000000000003e-003,4.0000000000000001e-003,4.7000000000000002e-003,4.5460000000000003,4.1150000000000002,5.0410000000000004,118.05500000000001,76.054000000000002
0.75,0.40000000000000002,5.0000000000000003e-002,0.19600000000000001,0.125,1.387,1.262,1.522,0.47099999999999997,0.45700000000000002,0.47899999999999998,46,11,85,45,31,61,4.7e-002,4.2000000000000003e-002,5.1999999999999998e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.3e-003,4.0000000000000001e-003,4.7000000000000002e-003,4.9299999999999997,4.4720000000000004,5.423,118.057,75.881
0.75,0.40000000000000002,0.10000000000000001,0.19600000000000001,0.125,1.383,1.2649999999999999,1.5069999999999999,0.46999999999999997,0.46000000000000002,0.47599999999999998,42,27,69,46,35,59,4.5999999999999999e-002,4.1000000000000002e-002,5.0999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.4000000000000003e-003,4.1000000000000003e-003,4.7999999999999996e-003,4.7530000000000001,4.3339999999999996,5.1989999999999998,118.066,75.543000000000006
0.75,0.40000000000000002,0.20000000000000001,0.19600000000000001,0.125,1.3839999999999999,1.2569999999999999,1.5189999999999999,0.46700000000000003,0.45300000000000001,0.47399999999999998,41,14,67,46,33,59,4.4999999999999998e-002,4.0000000000000001e-002,5.0000000000000003e-002,1.9099999999999999e-002,1.83e-002,1.9800000000000002e-002,4.5999999999999999e-003,4.3e-003,5.0000000000000001e-003,4.4340000000000002,4.0119999999999996,4.883,118.282,75.536000000000001
0.75,0.59999999999999998,5.0000000000000003e-002,0.19600000000000001,0.125,1.117,1.0229999999999999,1.216,0.47399999999999998,0.46600000000000003,0.47999999999999998,40,30,54,45,34,56,4.4999999999999998e-002,4.0000000000000001e-002,5.0000000000000003e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.4000000000000003e-003,4.1000000000000003e-003,4.7999999999999996e-003,4.7629999999999999,4.3559999999999999,5.1989999999999998,117.848,75.977999999999994
0.75,0.59999999999999998,0.10000000000000001,0.19600000000000001,0.125,1.119,1.028,1.222,0.47299999999999998,0.46100000000000002,0.47999999999999998,39,26,55,43,33,54,4.3999999999999997e-002,4.0000000000000001e-002,4.9000000000000002e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,4.7000000000000002e-003,4.3e-003,5.0000000000000001e-003,4.5709999999999997,4.1920000000000002,5,117.834,75.986999999999995
0.75,0.59999999999999998,0.20000000000000001,0.19600000000000001,0.125,1.0980000000000001,1.006,1.2030000000000001,0.47399999999999998,0.46600000000000003,0.47899999999999998,38,20,59,44,33,55,4.1000000000000002e-002,3.6999999999999998e-002,4.7e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,5.1000000000000004e-003,4.7000000000000002e-003,5.4999999999999997e-003,4.0899999999999999,3.742,4.4889999999999999,118.958,74.570999999999998
0.75,0.80000000000000004,5.0000000000000003e-002,0.19600000000000001,0.125,0.86799999999999999,0.80300000000000005,0.93000000000000005,0.46700000000000003,0.44600000000000001,0.47799999999999998,50,32,76,38,30,48,4.1000000000000002e-002,3.6999999999999998e-002,4.4999999999999998e-002,1.9099999999999999e-002,1.84e-002,1.9900000000000001e-002,4.7999999999999996e-003,4.4000000000000003e-003,5.1000000000000004e-003,4.3289999999999997,4.0039999999999996,4.6420000000000003,117.846,75.674000000000007
0.75,0.80000000000000004,0.10000000000000001,0.19600000000000001,0.125,0.85999999999999999,0.79700000000000004,0.93000000000000005,0.46999999999999997,0.44,0.48399999999999999,50,23,86,36,27,46,4.0000000000000001e-002,3.5999999999999997e-002,4.3999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,5.4000000000000003e-003,4.8999999999999998e-003,5.7999999999999996e-003,4.0819999999999999,3.7789999999999999,4.4189999999999996,118.06699999999999,74.668999999999997
0.75,0.80000000000000004,0.20000000000000001,0.19600000000000001,0.125,0.86599999999999999,0.78200000000000003,0.94199999999999995,0.47799999999999998,0.38,0.5,40,7,78,31,22,42,3.7999999999999999e-002,3.3000000000000002e-002,4.2999999999999997e-002,1.9099999999999999e-002,1.84e-002,1.9800000000000002e-002,6.7000000000000002e-003,6.1000000000000004e-003,7.1999999999999998e-003,3.6930000000000001,3.3620000000000001,4.0270000000000001,117.779,75.432000000000002
